time,degC,trigger
0.0196,-55896018.99187446,0.0
0.0198,-55896018.99187446,0.0
0.02,-55896018.99187446,0.0
0.020200000000000003,-55896018.99187446,0.0
0.0204,-55896018.99187446,0.0
0.0206,-55896018.99187446,0.0
0.020800000000000003,-55896018.99187446,0.0
0.021,-55896018.99187446,0.0
0.0212,-55896018.99187446,0.0
0.021400000000000002,-55896018.99187446,0.0
0.0216,-55896018.99187446,0.0
0.0218,-55896018.99187446,0.0
0.022000000000000002,-55896018.99187446,0.0
0.0222,-55896018.99187446,0.0
0.0224,-55896018.99187446,0.0
0.022600000000000002,-55896018.99187446,0.0
0.0228,-55896018.99187446,0.0
0.023,-55896018.99187446,0.0
0.023200000000000002,-55896018.99187446,0.0
0.0234,-55896018.99187446,0.0
0.0236,-55896018.99187446,0.0
0.0238,-55896018.99187446,0.0
0.024,-55896018.99187446,0.0
0.024200000000000003,-55896018.99187446,0.0
0.0244,-55896018.99187446,0.0
0.0246,-55896018.99187446,0.0
0.024800000000000003,-55896018.99187446,0.0
0.025,-55896018.99187446,0.0
0.0252,-55896018.99187446,0.0
0.025400000000000002,-55896018.99187446,0.0
0.0256,-55896018.99187446,0.0
0.0258,-55896018.99187446,0.0
0.026000000000000002,-55896018.99187446,0.0
0.0262,-55896018.99187446,0.0
0.0264,-55896018.99187446,0.0
0.026600000000000002,-55896018.99187446,0.0
0.0268,-55896018.99187446,0.0
0.027,-55896018.99187446,0.0
0.027200000000000002,-55896018.99187446,0.0
0.0274,-55896018.99187446,0.0
0.027600000000000003,-55896018.99187446,0.0
0.027800000000000002,-55896018.99187446,0.0
0.028,-55896018.99187446,0.0
0.028200000000000003,-55896018.99187446,0.0
0.0284,-55896018.99187446,0.0
0.0286,-55896018.99187446,0.0
0.028800000000000003,-55896018.99187446,0.0
0.029,-55896018.99187446,0.0
0.0292,-55896018.99187446,0.0
0.029400000000000003,-55896018.99187446,0.0
0.0296,-55896018.99187446,0.0
0.0298,-55896018.99187446,0.0
0.030000000000000002,-55896018.99187446,0.0
0.0302,-55896018.99187446,0.0
0.0304,-55896018.99187446,0.0
0.030600000000000002,-55896018.99187446,0.0
0.0308,-55896018.99187446,0.0
0.031,-55896018.99187446,0.0
0.031200000000000002,-55896018.99187446,0.0
0.031400000000000004,-55896018.99187446,0.0
0.0316,-55896018.99187446,0.0
0.0318,-55896018.99187446,0.0
0.032,-55896018.99187446,0.0
0.0322,-55896018.99187446,0.0
0.0324,-55896018.99187446,0.0
0.032600000000000004,-55896018.99187446,0.0
0.0328,-55896018.99187446,0.0
0.033,-55896018.99187446,0.0
0.0332,-55896018.99187446,0.0
0.0334,-55896018.99187446,0.0
0.033600000000000005,-55896018.99187446,0.0
0.033800000000000004,-55896018.99187446,0.0
0.034,-55896018.99187446,0.0
0.0342,-55896018.99187446,0.0
0.0344,-55896018.99187446,0.0
0.0346,-55896018.99187446,0.0
0.034800000000000005,-55896018.99187446,0.0
0.035,-55896018.99187446,0.0
0.0352,-55896018.99187446,0.0
0.0354,-55896018.99187446,0.0
0.0356,-55896018.99187446,0.0
0.0358,-55896018.99187446,0.0
0.036000000000000004,-55896018.99187446,0.0
0.0362,-55896018.99187446,0.0
0.0364,-55896018.99187446,0.0
0.0366,-55896018.99187446,0.0
0.0368,-55896018.99187446,0.0
0.037000000000000005,-55896018.99187446,0.0
0.037200000000000004,-55896018.99187446,0.0
0.0374,-55896018.99187446,0.0
0.0376,-55896018.99187446,0.0
0.0378,-55896018.99187446,0.0
0.038,-55896018.99187446,0.0
0.038200000000000005,-55896018.99187446,0.0
0.038400000000000004,-55896018.99187446,0.0
0.0386,-55896018.99187446,0.0
0.0388,-55896018.99187446,0.0
0.039,-55896018.99187446,0.0
0.0392,-55896018.99187446,0.0
0.039400000000000004,-55896018.99187446,0.0
0.0396,-55896018.99187446,0.0
0.0398,-55896018.99187446,0.0
0.04,-55896018.99187446,0.0
0.0402,-55896018.99187446,0.0
0.040400000000000005,-55896018.99187446,0.0
0.040600000000000004,-55896018.99187446,0.0
0.0408,-55896018.99187446,0.0
0.041,-55896018.99187446,0.0
0.0412,-55896018.99187446,0.0
0.0414,-55896018.99187446,0.0
0.041600000000000005,-55896018.99187446,0.0
0.041800000000000004,-55896018.99187446,0.0
0.042,-55896018.99187446,0.0
0.0422,-55896018.99187446,0.0
0.0424,-55896018.99187446,0.0
0.0426,-55896018.99187446,0.0
0.042800000000000005,-55896018.99187446,0.0
0.043000000000000003,-55896018.99187446,0.0
0.0432,-55896018.99187446,0.0
0.0434,-55896018.99187446,0.0
0.0436,-55896018.99187446,0.0
0.0438,-55896018.99187446,0.0
0.044000000000000004,-55896018.99187446,0.0
0.0442,-55896018.99187446,0.0
0.0444,-55896018.99187446,0.0
0.0446,-55896018.99187446,0.0
0.0448,-55896018.99187446,0.0
0.045000000000000005,-55896018.99187446,0.0
0.045200000000000004,-55896018.99187446,0.0
0.0454,-55896018.99187446,0.0
0.0456,-55896018.99187446,0.0
0.0458,-55896018.99187446,0.0
0.046,-55896018.99187446,0.0
0.046200000000000005,-55896018.99187446,0.0
0.046400000000000004,-55896018.99187446,0.0
0.0466,-55896018.99187446,0.0
0.0468,-55896018.99187446,0.0
0.047,-55896018.99187446,0.0
0.0472,-55896018.99187446,0.0
0.047400000000000005,-55896018.99187446,0.0
0.0476,-55896018.99187446,0.0
0.0478,-55896018.99187446,0.0
0.048,-55896018.99187446,0.0
0.0482,-55896018.99187446,0.0
0.048400000000000006,-55896018.99187446,0.0
0.048600000000000004,-55896018.99187446,0.0
0.0488,-55896018.99187446,0.0
0.049,-55896018.99187446,0.0
0.0492,-55896018.99187446,0.0
0.0494,-55896018.99187446,0.0
0.049600000000000005,-55896018.99187446,0.0
0.049800000000000004,-55896018.99187446,0.0
0.05,-55896018.99187446,0.0
0.0502,-55896018.99187446,0.0
0.0504,-55896018.99187446,0.0
0.0506,-55896018.99187446,0.0
0.050800000000000005,-55896018.99187446,0.0
0.051000000000000004,-55896018.99187446,0.0
0.0512,-55896018.99187446,0.0
0.0514,-55896018.99187446,0.0
0.0516,-55896018.99187446,0.0
0.051800000000000006,-55896018.99187446,0.0
0.052000000000000005,-55896018.99187446,0.0
0.0522,-55896018.99187446,0.0
0.0524,-55896018.99187446,0.0
0.0526,-55896018.99187446,0.0
0.0528,-55896018.99187446,0.0
0.053000000000000005,-55896018.99187446,0.0
0.053200000000000004,-55896018.99187446,0.0
0.0534,-55896018.99187446,0.0
0.0536,-55896018.99187446,0.0
0.0538,-55896018.99187446,0.0
0.054,-55896018.99187446,0.0
0.054200000000000005,-55896018.99187446,0.0
0.054400000000000004,-55896018.99187446,0.0
0.0546,-55896018.99187446,0.0
0.0548,-55896018.99187446,0.0
0.055,-55896018.99187446,0.0
0.055200000000000006,-55896018.99187446,0.0
0.055400000000000005,-55896018.99187446,0.0
0.055600000000000004,-55896018.99187446,0.0
0.0558,-55896018.99187446,0.0
0.056,-55896018.99187446,0.0
0.0562,-55896018.99187446,0.0
0.056400000000000006,-55896018.99187446,0.0
0.056600000000000004,-55896018.99187446,0.0
0.0568,-55896018.99187446,0.0
0.057,-55896018.99187446,0.0
0.0572,-55896018.99187446,0.0
0.0574,-55896018.99187446,0.0
0.057600000000000005,-55896018.99187446,0.0
0.057800000000000004,-55896018.99187446,0.0
0.058,-55896018.99187446,0.0
0.0582,-55896018.99187446,0.0
0.0584,-55896018.99187446,0.0
0.058600000000000006,-55896018.99187446,0.0
0.058800000000000005,-55896018.99187446,0.0
0.059000000000000004,-55896018.99187446,0.0
0.0592,-55896018.99187446,0.0
0.0594,-55896018.99187446,0.0
0.0596,-55896018.99187446,0.0
0.059800000000000006,-55896018.99187446,0.0
0.060000000000000005,-55896018.99187446,0.0
0.060200000000000004,-55896018.99187446,0.0
0.0604,-55896018.99187446,0.0
0.0606,-55896018.99187446,0.0
0.0608,-55896018.99187446,0.0
0.061000000000000006,-55896018.99187446,0.0
0.061200000000000004,-55896018.99187446,0.0
0.0614,-55896018.99187446,0.0
0.0616,-55896018.99187446,0.0
0.0618,-55896018.99187446,0.0
0.062,-55896018.99187446,0.0
0.062200000000000005,-55896018.99187446,0.0
0.062400000000000004,-55896018.99187446,0.0
0.0626,-55896018.99187446,0.0
0.06280000000000001,-55896018.99187446,0.0
0.063,-55896018.99187446,0.0
0.0632,-55896018.99187446,0.0
0.0634,-55896018.99187446,0.0
0.0636,-55896018.99187446,0.0
0.06380000000000001,-55896018.99187446,0.0
0.064,-55896018.99187446,0.0
0.06420000000000001,-55896018.99187446,0.0
0.0644,-55896018.99187446,0.0
0.0646,-55896018.99187446,0.0
0.0648,-55896018.99187446,0.0
0.065,-55896018.99187446,0.0
0.06520000000000001,-55896018.99187446,0.0
0.0654,-55896018.99187446,0.0
0.0656,-55896018.99187446,0.0
0.0658,-55896018.99187446,0.0
0.066,-55896018.99187446,0.0
0.06620000000000001,-55896018.99187446,0.0
0.0664,-55896018.99187446,0.0
0.0666,-55896018.99187446,0.0
0.0668,-55896018.99187446,0.0
0.067,-55896018.99187446,0.0
0.06720000000000001,-55896018.99187446,0.0
0.0674,-55896018.99187446,0.0
0.06760000000000001,-55896018.99187446,0.0
0.0678,-55896018.99187446,0.0
0.068,-55896018.99187446,0.0
0.0682,-55896018.99187446,0.0
0.0684,-55896018.99187446,0.0
0.06860000000000001,-55896018.99187446,0.0
0.0688,-55896018.99187446,0.0
0.069,-55896018.99187446,0.0
0.0692,-55896018.99187446,0.0
0.0694,-55896018.99187446,0.0
0.06960000000000001,-55896018.99187446,0.0
0.0698,-55896018.99187446,0.0
0.07,-55896018.99187446,0.0
0.0702,-55896018.99187446,0.0
0.0704,-55896018.99187446,0.0
0.07060000000000001,-55896018.99187446,0.0
0.0708,-55896018.99187446,0.0
0.07100000000000001,-55896018.99187446,0.0
0.0712,-55896018.99187446,0.0
0.0714,-55896018.99187446,0.0
0.0716,-55896018.99187446,0.0
0.0718,-55896018.99187446,0.0
0.07200000000000001,-55896018.99187446,0.0
0.0722,-55896018.99187446,0.0
0.0724,-55896018.99187446,0.0
0.0726,-55896018.99187446,0.0
0.0728,-55896018.99187446,0.0
0.07300000000000001,-55896018.99187446,0.0
0.0732,-55896018.99187446,0.0
0.0734,-55896018.99187446,0.0
0.0736,-55896018.99187446,0.0
0.0738,-55896018.99187446,0.0
0.07400000000000001,-55896018.99187446,0.0
0.0742,-55896018.99187446,0.0
0.07440000000000001,-55896018.99187446,0.0
0.0746,-55896018.99187446,0.0
0.0748,-55896018.99187446,0.0
0.075,-55896018.99187446,0.0
0.0752,-55896018.99187446,0.0
0.07540000000000001,-55896018.99187446,0.0
0.0756,-55896018.99187446,0.0
0.0758,-55896018.99187446,0.0
0.076,-55896018.99187446,0.0
0.0762,-55896018.99187446,0.0
0.07640000000000001,-55896018.99187446,0.0
0.0766,-55896018.99187446,0.0
0.07680000000000001,-55896018.99187446,0.0
0.077,-55896018.99187446,0.0
0.0772,-55896018.99187446,0.0
0.07740000000000001,-55896018.99187446,0.0
0.0776,-55896018.99187446,0.0
0.07780000000000001,-55896018.99187446,0.0
0.078,-55896018.99187446,0.0
0.0782,-55896018.99187446,0.0
0.0784,-55896018.99187446,0.0
0.0786,-55896018.99187446,0.0
0.07880000000000001,-55896018.99187446,0.0
0.079,-55896018.99187446,0.0
0.0792,-55896018.99187446,0.0
0.0794,-55896018.99187446,0.0
0.0796,-55896018.99187446,0.0
0.07980000000000001,-55896018.99187446,0.0
0.08,-55896018.99187446,0.0
0.08020000000000001,-55896018.99187446,0.0
0.0804,-55896018.99187446,0.0
0.0806,-55896018.99187446,0.0
0.08080000000000001,-55896018.99187446,0.0
0.081,-55896018.99187446,0.0
0.08120000000000001,-55896018.99187446,0.0
0.0814,-55896018.99187446,0.0
0.0816,-55896018.99187446,0.0
0.0818,-55896018.99187446,0.0
0.082,-55896018.99187446,0.0
0.08220000000000001,-55896018.99187446,0.0
0.0824,-55896018.99187446,0.0
0.0826,-55896018.99187446,0.0
0.0828,-55896018.99187446,0.0
0.083,-55896018.99187446,0.0
0.08320000000000001,-55896018.99187446,0.0
0.0834,-55896018.99187446,0.0
0.08360000000000001,-55896018.99187446,0.0
0.0838,-55896018.99187446,0.0
0.084,-55896018.99187446,0.0
0.08420000000000001,-55896018.99187446,0.0
0.0844,-55896018.99187446,0.0
0.08460000000000001,-55896018.99187446,0.0
0.0848,-55896018.99187446,0.0
0.085,-55896018.99187446,0.0
0.0852,-55896018.99187446,0.0
0.0854,-55896018.99187446,0.0
0.08560000000000001,-55896018.99187446,0.0
0.0858,-55896018.99187446,0.0
0.08600000000000001,-55896018.99187446,0.0
0.0862,-55896018.99187446,0.0
0.0864,-55896018.99187446,0.0
0.08660000000000001,-55896018.99187446,0.0
0.0868,-55896018.99187446,0.0
0.08700000000000001,-55896018.99187446,0.0
0.0872,-55896018.99187446,0.0
0.0874,-55896018.99187446,0.0
0.0876,-55896018.99187446,0.0
0.0878,-55896018.99187446,0.0
0.08800000000000001,-55896018.99187446,0.0
0.0882,-55896018.99187446,0.0
0.0884,-55896018.99187446,0.0
0.0886,-55896018.99187446,0.0
0.0888,-55896018.99187446,0.0
0.08900000000000001,-55896018.99187446,0.0
0.0892,-55896018.99187446,0.0
0.08940000000000001,-55896018.99187446,0.0
0.0896,-55896018.99187446,0.0
0.0898,-55896018.99187446,0.0
0.09000000000000001,-55896018.99187446,0.0
0.0902,-55896018.99187446,0.0
0.09040000000000001,-55896018.99187446,0.0
0.0906,-55896018.99187446,0.0
0.0908,-55896018.99187446,0.0
0.091,-55896018.99187446,0.0
0.0912,-55896018.99187446,0.0
0.09140000000000001,-55896018.99187446,0.0
0.0916,-55896018.99187446,0.0
0.0918,-55896018.99187446,0.0
0.092,-55896018.99187446,0.0
0.0922,-55896018.99187446,0.0
0.09240000000000001,-55896018.99187446,0.0
0.0926,-55896018.99187446,0.0
0.09280000000000001,-55896018.99187446,0.0
0.093,-55896018.99187446,0.0
0.0932,-55896018.99187446,0.0
0.09340000000000001,-55896018.99187446,0.0
0.0936,-55896018.99187446,0.0
0.09380000000000001,-55896018.99187446,0.0
0.094,-55896018.99187446,0.0
0.0942,-55896018.99187446,0.0
0.0944,-55896018.99187446,0.0
0.0946,-55896018.99187446,0.0
0.09480000000000001,-55896018.99187446,0.0
0.095,-55896018.99187446,0.0
0.0952,-55896018.99187446,0.0
0.0954,-55896018.99187446,0.0
0.0956,-55896018.99187446,0.0
0.09580000000000001,-55896018.99187446,0.0
0.096,-55896018.99187446,0.0
0.09620000000000001,-55896018.99187446,0.0
0.0964,-55896018.99187446,0.0
0.0966,-55896018.99187446,0.0
0.09680000000000001,-55896018.99187446,0.0
0.097,-55896018.99187446,0.0
0.09720000000000001,-55896018.99187446,0.0
0.0974,-55896018.99187446,0.0
0.0976,-55896018.99187446,0.0
0.0978,-55896018.99187446,0.0
0.098,-55896018.99187446,0.0
0.09820000000000001,-55896018.99187446,0.0
0.0984,-55896018.99187446,0.0
0.09860000000000001,-55896018.99187446,0.0
0.0988,-55896018.99187446,0.0
0.099,-55896018.99187446,0.0
0.09920000000000001,-55896018.99187446,0.0
0.0994,-55896018.99187446,0.0
0.09960000000000001,-55896018.99187446,0.0
0.0998,-55896018.99187446,0.0
0.1,-55896018.99187446,3.0
0.10020000000000001,-55896018.99187446,3.0
0.1004,-55896018.99187446,3.0
0.10060000000000001,-55896018.99187446,3.0
0.1008,-55896018.99187446,3.0
0.101,-55896018.99187446,3.0
0.1012,-55896018.99187446,3.0
0.1014,-55896018.99187446,3.0
0.10160000000000001,-55896018.99187446,3.0
0.1018,-55896018.99187446,3.0
0.10200000000000001,-55896018.99187446,3.0
0.1022,-55896018.99187446,3.0
0.1024,-55896018.99187446,3.0
0.10260000000000001,-55896018.99187446,3.0
0.1028,-55896018.99187446,3.0
0.10300000000000001,-55896018.99187446,3.0
0.1032,-55896018.99187446,3.0
0.1034,-55896018.99187446,3.0
0.10360000000000001,-55896018.99187446,3.0
0.1038,-55896018.99187446,3.0
0.10400000000000001,-55896018.99187446,3.0
0.1042,-55896018.99187446,3.0
0.1044,-55896018.99187446,3.0
0.1046,-55896018.99187446,3.0
0.1048,-55896018.99187446,3.0
0.10500000000000001,-55896018.99187446,3.0
0.1052,-55896018.99187446,3.0
0.10540000000000001,-55896018.99187446,3.0
0.1056,-55896018.99187446,3.0
0.1058,-55896018.99187446,3.0
0.10600000000000001,-55896018.99187446,3.0
0.1062,-55896018.99187446,3.0
0.10640000000000001,-55896018.99187446,3.0
0.1066,-55896018.99187446,3.0
0.1068,-55896018.99187446,3.0
0.10700000000000001,-55896018.99187446,3.0
0.1072,-55896018.99187446,3.0
0.10740000000000001,-55896018.99187446,3.0
0.1076,-55896018.99187446,3.0
0.1078,-55896018.99187446,3.0
0.108,-55896018.99187446,3.0
0.1082,-55896018.99187446,3.0
0.10840000000000001,-55896018.99187446,3.0
0.1086,-55896018.99187446,3.0
0.10880000000000001,-55896018.99187446,3.0
0.109,-55896018.99187446,3.0
0.1092,-55896018.99187446,3.0
0.10940000000000001,-55896018.99187446,3.0
0.1096,-55896018.99187446,3.0
0.10980000000000001,-55896018.99187446,3.0
0.11,-55896018.99187446,0.0
0.1102,-55896018.99187446,0.0
0.11040000000000001,-55896018.99187446,0.0
0.1106,-55896018.99187446,0.0
0.11080000000000001,-55896018.99187446,0.0
0.111,-55896018.99187446,0.0
0.11120000000000001,-55896018.99187446,0.0
0.1114,-55896018.99187446,0.0
0.1116,-55896018.99187446,0.0
0.11180000000000001,-55896018.99187446,0.0
0.112,-55896018.99187446,0.0
0.11220000000000001,-55896018.99187446,0.0
0.1124,-55896018.99187446,0.0
0.1126,-55896018.99187446,0.0
0.11280000000000001,-55896018.99187446,0.0
0.113,-55896018.99187446,0.0
0.11320000000000001,-55896018.99187446,0.0
0.1134,-55896018.99187446,0.0
0.1136,-55896018.99187446,0.0
0.11380000000000001,-55896018.99187446,0.0
0.114,-55896018.99187446,0.0
0.11420000000000001,-55896018.99187446,0.0
0.1144,-55896018.99187446,0.0
0.11460000000000001,-55896018.99187446,0.0
0.1148,-55896018.99187446,0.0
0.115,-55896018.99187446,0.0
0.11520000000000001,-55896018.99187446,0.0
0.1154,-55896018.99187446,0.0
0.11560000000000001,-55896018.99187446,0.0
0.1158,-55896018.99187446,0.0
0.116,-55896018.99187446,0.0
0.11620000000000001,-55896018.99187446,0.0
0.1164,-55896018.99187446,0.0
0.11660000000000001,-55896018.99187446,0.0
0.1168,-55896018.99187446,0.0
0.117,-55896018.99187446,0.0
0.11720000000000001,-55896018.99187446,0.0
0.1174,-55896018.99187446,0.0
0.11760000000000001,-55896018.99187446,0.0
0.1178,-55896018.99187446,0.0
0.11800000000000001,-55896018.99187446,0.0
0.1182,-55896018.99187446,0.0
0.1184,-55896018.99187446,0.0
0.11860000000000001,-55896018.99187446,0.0
0.1188,-55896018.99187446,0.0
0.11900000000000001,-55896018.99187446,0.0
0.1192,-55896018.99187446,0.0
0.1194,-55896018.99187446,0.0
0.11960000000000001,-55896018.99187446,0.0
0.1198,-55896018.99187446,0.0
0.12000000000000001,-55896018.99187446,0.0
0.1202,-55896018.99187446,0.0
0.12040000000000001,-55896018.99187446,0.0
0.1206,-55896018.99187446,0.0
0.1208,-55896018.99187446,0.0
0.12100000000000001,-55896018.99187446,0.0
0.1212,-55896018.99187446,0.0
0.12140000000000001,-55896018.99187446,0.0
0.1216,-55896018.99187446,0.0
0.1218,-55896018.99187446,0.0
0.12200000000000001,-55896018.99187446,0.0
0.1222,-55896018.99187446,0.0
0.12240000000000001,-55896018.99187446,0.0
0.1226,-55896018.99187446,0.0
0.1228,-55896018.99187446,0.0
0.12300000000000001,-55896018.99187446,0.0
0.1232,-55896018.99187446,0.0
0.12340000000000001,-55896018.99187446,0.0
0.1236,-55896018.99187446,0.0
0.12380000000000001,-55896018.99187446,0.0
0.124,-55896018.99187446,0.0
0.1242,-55896018.99187446,0.0
0.12440000000000001,-55896018.99187446,0.0
0.1246,-55896018.99187446,0.0
0.12480000000000001,-55896018.99187446,0.0
0.125,-55896018.99187446,0.0
0.1252,-55896018.99187446,0.0
0.1254,-55896018.99187446,0.0
0.12560000000000002,-55896018.99187446,0.0
0.1258,-55896018.99187446,0.0
0.126,-55896018.99187446,0.0
0.1262,-55896018.99187446,0.0
0.1264,-55896018.99187446,0.0
0.12660000000000002,-55896018.99187446,0.0
0.1268,-55896018.99187446,0.0
0.127,-55896018.99187446,0.0
0.1272,-55896018.99187446,0.0
0.1274,-55896018.99187446,0.0
0.12760000000000002,-55896018.99187446,0.0
0.1278,-55896018.99187446,0.0
0.128,-55896018.99187446,0.0
0.1282,-55896018.99187446,0.0
0.12840000000000001,-55896018.99187446,0.0
0.12860000000000002,-55896018.99187446,0.0
0.1288,-55896018.99187446,0.0
0.129,-55896018.99187446,0.0
0.1292,-55896018.99187446,0.0
0.12940000000000002,-55896018.99187446,0.0
0.1296,-55896018.99187446,0.0
0.1298,-55896018.99187446,0.0
0.13,-55896018.99187446,0.0
0.1302,-55896018.99187446,0.0
0.13040000000000002,-55896018.99187446,0.0
0.1306,-55896018.99187446,0.0
0.1308,-55896018.99187446,0.0
0.131,-55896018.99187446,0.0
0.1312,-55896018.99187446,0.0
0.13140000000000002,-55896018.99187446,0.0
0.1316,-55896018.99187446,0.0
0.1318,-55896018.99187446,0.0
0.132,-55896018.99187446,0.0
0.1322,-55896018.99187446,0.0
0.13240000000000002,-55896018.99187446,0.0
0.1326,-55896018.99187446,0.0
0.1328,-55896018.99187446,0.0
0.133,-55896018.99187446,0.0
0.1332,-55896018.99187446,0.0
0.13340000000000002,-55896018.99187446,0.0
0.1336,-55896018.99187446,0.0
0.1338,-55896018.99187446,0.0
0.134,-55896018.99187446,0.0
0.1342,-55896018.99187446,0.0
0.13440000000000002,-55896018.99187446,0.0
0.1346,-55896018.99187446,0.0
0.1348,-55896018.99187446,0.0
0.135,-55896018.99187446,0.0
0.13520000000000001,-55896018.99187446,0.0
0.13540000000000002,-55896018.99187446,0.0
0.1356,-55896018.99187446,0.0
0.1358,-55896018.99187446,0.0
0.136,-55896018.99187446,0.0
0.13620000000000002,-55896018.99187446,0.0
0.1364,-55896018.99187446,0.0
0.1366,-55896018.99187446,0.0
0.1368,-55896018.99187446,0.0
0.137,-55896018.99187446,0.0
0.13720000000000002,-55896018.99187446,0.0
0.1374,-55896018.99187446,0.0
0.1376,-55896018.99187446,0.0
0.1378,-55896018.99187446,0.0
0.138,-55896018.99187446,0.0
0.13820000000000002,-55896018.99187446,0.0
0.1384,-55896018.99187446,0.0
0.1386,-55896018.99187446,0.0
0.1388,-55896018.99187446,0.0
0.139,-55896018.99187446,0.0
0.13920000000000002,-55896018.99187446,0.0
0.1394,-55896018.99187446,0.0
0.1396,-55896018.99187446,0.0
0.1398,-55896018.99187446,0.0
0.14,-55896018.99187446,0.0
0.14020000000000002,-55896018.99187446,0.0
0.1404,-55896018.99187446,0.0
0.1406,-55896018.99187446,0.0
0.1408,-55896018.99187446,0.0
0.14100000000000001,-55896018.99187446,0.0
0.14120000000000002,-55896018.99187446,0.0
0.1414,-55896018.99187446,0.0
0.1416,-55896018.99187446,0.0
0.1418,-55896018.99187446,0.0
0.14200000000000002,-55896018.99187446,0.0
0.1422,-55896018.99187446,0.0
0.1424,-55896018.99187446,0.0
0.1426,-55896018.99187446,0.0
0.1428,-55896018.99187446,0.0
0.14300000000000002,-55896018.99187446,0.0
0.1432,-55896018.99187446,0.0
0.1434,-55896018.99187446,0.0
0.1436,-55896018.99187446,0.0
0.1438,-55896018.99187446,0.0
0.14400000000000002,-55896018.99187446,0.0
0.1442,-55896018.99187446,0.0
0.1444,-55896018.99187446,0.0
0.1446,-55896018.99187446,0.0
0.1448,-55896018.99187446,0.0
0.14500000000000002,-55896018.99187446,0.0
0.1452,-55896018.99187446,0.0
0.1454,-55896018.99187446,0.0
0.1456,-55896018.99187446,0.0
0.1458,-55896018.99187446,0.0
